GermplasmName,RKN,FW,GH SSR,Field SSR
393,,0,2,0
393,4,0,0,
394,,0,,
394,3,3,3,
1554,0,0,,
1554,2,1,1,2
1868,3,2,,
1880,2,2,,
AC172  ,,3,,
AC76.12,1,3,1,0
AC76.12,0,1,0,
ACC213,4,0,1,0
Baracutey,4,0,0,0
BayouBelle,,3,2,
BayouBelle,,3,,1
BayouBelle,0,4,0,2
Beauregard_G2,0,3,,
Beauregard_G2,0,3,3,3
Beauregard_G2,0,3,3,3
Beauregard_G2,0,3,,3
Beauregard_G2,3,3,3,3
Beauregard_G2,1,3,3,3
Beauregard_G2,0,3,3,3
Beauregard_G2,0,2,3,3
Beauregard_G2,1,2,3,2
Beauregard_G2,0,3,3,3
Beauregard_G2,0,3,2,2
Beauregard_G2,0,2,3,3
Beauregard_G2,0,2,3,3
Beauregard_G2,0,2,3,
Beauregard_G2,0,3,3,3
Beauregard_G2,0,3,,3
Beauregard_G2,0,3,,
Beauregard_G2,0,3,,
Beauregard_G2,0,3,,3
Beauregard_G2,,3,,
Bellevue,3,3,3,3
Bellevue,3,3,3,
Beniaka,,2,,0
Beniaka,,0,,0
Benihayato,2,0,,
Benihayato  ,,1,,
Bermuda White,,0,,
Bienville,,3,,
BM83-4,,2,,
BON00-0165 ,3,3,,
BON00-0251 ,3,3,,
BON00-0332,3,3,,
BON00-0363 ,3,4,,
BON00-0524 ,3,3,,
BON00-0524 ,4,1,2,3
BON01-0062 ,3,2,,
BON01-0062 ,4,0,1,2
BON01-0133 ,2,3,,
BON01-0133 ,4,2,0,1
BON01-0141 ,3,,,
BON02-0442,1,1,2,0
BON97-0242 ,3,0,,
BON99-0169 ,3,3,,
BON99-0169 ,4,3,1,2
BON99-0394 ,3,3,,
BON99-0477,0,3,3,
BON99-0477 ,0,3,,
BON99-0477 ,2,---,1,1
Bonita,3,1,1,2
Bonita,4,0,0,2
Bonita,,1,2,
Burgundy,3,3,2,3
Burgundy,3,2,4,
Bwanjule,3,0,,
Camote Amarillo,4,3,2,2
Camote Amarillo,1,2,2,2
Camote Amarillo,4,0,1,0
Capadito,,0,,
Car. Bunch  ,,0,,
Centennial,,0,,
Char. Scar G2,,1,,0
CN1489-43  ,,1,,
CN1525-11,4,3,0,
CN1525-11,3,3,0,
CN1869-13,4,1,0,1
Cordner  ,,3,,
Costanero,4,3,0,0
Costenero,3,,,1
Covington_G2,3,3,3,3
Covington_G2,3,3,3,3
Covington_G2,3,3,3,3
Covington_G2,4,3,1,3
Covington_G2,3,3,3,3
Covington_G2,3,3,3,3
Covington_G2,3,3,3,3
Covington_G2,3,3,2,3
Covington_G2,3,3,2,
Covington_G2,2,3,3,3
Covington_G2,3,3,,3
Covington_G2,3,3,,
Covington_G2,3,3,,
Covington_G2,3,3,,3
Covington_G2,,3,,
DC166,0,2,,
DC188,0,1,,2
DC188,,3,,
DC257,3,2,,
DC333,0,0,,
DC372,3,2,,2
DC372,,3,,
Diane,0,3,0,1
Dimbuka-Bukulula,3,2,,
Dooley,3,1,,
Dooley,,1,,
Ejumula,3,1,,
Evangeline,3,,,
Evangeline,3,3,3,3
Evangeline,4,2,3,3
G113-2B,4,2,3,1
G113-2B,3,2,0,
GA 172,1,3,0,
