Code,Maternal,Paternal
1,Blackie,Blackie
2,L84-74,L84-74
3,L84-74,L84-74
4,L84-74,L84-74
5,L84-74,NA
6,PDM P4,PDM P4
7,Sulfur,Sulfur
8,Sulfur,NA
9,W275,W275
10,W275,W275
11,(93-95 X S),(W201 X S-2)
12,(P5 X S-2),NA
13,(P8 X S-4),NA
14,Sulfur,(1528 X S)
15,Sulfur,(P5 X S-2)
16,Sulfur,(P8 X S-4)
17,Sulfur,(S X REGAL)
18,Sulfur,(W248 X S)
19,(S X 93-95-5),Sulfur
20,(S X W274-2),Sulfur
21,(W201 X S-1),(93-95 X S)
22,(W201 X S-2),(93-95 X S)
23,(W201 X S-10) ,Sulfur
24,(W248 X S),Sulfur
25,Beauregard,Pink Frost
26,DW8,Pink Frost
26,DW8,Pink Frost
27,Hernandez,Pink Frost
28,L86-33,Pink Frost
29,L91-80,Pink Frost
30,99,(93-15 X BL-7)
31,99,Blackie
32,93-50,93-65
33,93-50,Beauregard
34,93-50,Hernandez
35,93-50,L87-105
36,93-95,L78-21
37,93-95,L84-74
38,Beauregard,92-08
39,Beauregard,93-95
40,Beauregard,L78-21
41,Beauregard,L91-80
42,Hernandez,L78-21
43,L78-21,Beauregard
44,L78-21,Hernandez
45,L78-21,L89-110
46,L87-95,93-95
47,POPE,Hernandez
48,POPE,L84-74
49,(93-15 X BL-1),Blackie
50,(93-15 X BL-1),(BL X L91-189-1)
51,(93-15 X BL-1),(L84-74 X BL-9)
52,(93-15 X BL-1),(S X B R5-13)
53,(93-15 X BL-1),(S X B R7-1)
54,(93-15 X BL-1),(S X BL R7-52)
55,(93-15 X BL-2),Blackie
56,(93-15 X BL-2),(REGAL X BL-1)
57,(93-15 X BL-2),(SO DEL X BL-1)
58,(93-15 X BL-2),(S X BL-5)
59,(93-15 X BL-3),Blackie
60,(93-15 X BL-4),(BL X L91-189-1)
61,(93-15 X BL-4),(L84-74 X BL-28)
62,(93-15 X BL-4),(REGAL X BL-1)
63,(93-15 X BL-4),(S X BL R7-1)
64,(93-15 X BL-4),(S X BL R7-40)
65,(93-15 X BL-4),(W201 X BL-1)
66,(93-15 X BL-7),(93-15 X BL-1)
67,(93-15 X BL-7),(93-15 X BL-1)
68,(93-15 X BL-7),(A144 X BL-1)
69,(93-15 X BL-7),Blackie
70,(93-15 X BL-7),(BL X L91-189-1)
71,(93-15 X BL-7),(L84-74 X BL-8)
72,(93-15 X BL-7),(S X BL R5-4)
