GermplasmName,Pithiness,n Pithiness,GenericGermplasmName
334,2,1,334
344,3,1,344
346??,4,1,346??
367,4,1,367
368??,3.3,1,368??
371,2,1,371
379??,3.2,1,379??
607-16Hybrid,1.1,3,607-16Hybrid
93-11,2.6,2,93-11
93-13,0,1,93-13
93-17,1.6,2,93-17
93-50,1.7,2,93-50
96-61,2.1,9,96-61
97-433,1.3,1,97-433
97A-04,2.3,7,97A-04
Averre,1.4,9,Averre
B94-14,2.4,13,B94-14
Bayoubelle,2,1,Bayoubelle
BayouBelle,1.366666667,63,BayouBelle
BayouBelle G3,2.5,1,BayouBelle G3
Beauregard,2.2,195,Beauregard
bellevue,2.5,1,bellevue
Bellevue,2.6,24,Bellevue
BELLEVUE,2.8,1,BELLEVUE
Benihayato,1.1,2,Benihayato
BM85-42,2.7,2,BM85-42
Bonita,2.4,23,Bonita
BONITA,3,2,BONITA
BonitaSport,2.8,6,BonitaSport
Burgundy,3.1,4,Burgundy
C58,2.3,2,C58
CarolinaNugget,2.1,3,CarolinaNugget
CarolinaRose,2.1,3,CarolinaRose
CarolinaRuby,1.7,7,CarolinaRuby
Centennial,2.45,5,Centennial
CharlestonScarlet,1,1,CharlestonScarlet
CN1489-43,2.5,1,CN1489-43
Covington,2.066666667,212,Covington
Diane,1.6,3,Diane
DM04-0197_D1,2.2,1,DM04-0197
Evangeline,3.1,9,Evangeline
Excel,2.3,1,Excel
FTA94,2.1,6,FTA94
GA172,0.9,2,GA172
Gem,3.2,2,Gem
Hatteras,1.75,32,Hatteras
Hayman,2.2,3,Hayman
HeartOgold,1,4,HeartOgold
Hernandez,3.4,10,Hernandez
HiDry,2.7,5,HiDry
HM145,3,1,HM145
J_7-13,2.2,9,J
J2,2.7,3,J2
Japanese,2.55,16,Japanese
Jewel,2.3,8,Jewel
JEWEL,2.5,1,JEWEL
Julian,2,4,Julian
Kotobuki,2.8,4,Kotobuki
Kyukie97,1.7,6,Kyukie97
Kyushu100,2.1,2,Kyushu100
L13-81,2.1,5,L13-81
L13-84,2,2,L13-84
L14-31,2.7,1,L14-31
L22,3,2,L22
L329,3.2,1,L329
L417,1,1,L417
L445,0.7,1,L445
L96-117,1.2,2,L96-117
Liberty,2.5,5,Liberty
Macana,2.7,2,Macana
mc13-1027 M43,3.3,1,mc13-1027 M43
MC14-0033,3.5,1,MC14-0033
MC14-0048,2,1,MC14-0048
MC14-0073,2.1,5,MC14-0073
MC14-0107,1.1,5,MC14-0107
MC14-0111,0.6,2,MC14-0111
MC14-0126,0.8,1,MC14-0126
MC14-0264,2.5,5,MC14-0264
MC14-0270,1.3,1,MC14-0270
MC14-0276,2.8,1,MC14-0276
MC14-0279,0.7,1,MC14-0279
MC14-0333,2,1,MC14-0333
MC14-0349,3.2,3,MC14-0349
MC14-0363,1.733333333,39,MC14-0363
MC14-0363 M1-1,1.8,2,MC14-0363 M1-1
MC14-0363 M1-1 G1,1.5,1,MC14-0363 M1-1 G1
MC14-0363 M1-3,2.2,1,MC14-0363 M1-3
MC14-0363 M4-10,2,1,MC14-0363 M4-10
MC14-0363 M4-4,1.8,1,MC14-0363 M4-4
MC14-0363 M4-5,2.2,2,MC14-0363 M4-5
mc14-0377,3.7,1,mc14-0377
MC14-0377,3.2,12,MC14-0377
MC14-0380,3,1,MC14-0380
MC14-0403,3.8,1,MC14-0403
MC14-0479,2.8,1,MC14-0479
MC14-0501,2.5,2,MC14-0501
MC14-0527,3,2,MC14-0527
MC14-0561,1.2,1,MC14-0561
MC14-0567,1.7,2,MC14-0567
MC14-0596,2.5,1,MC14-0596
MC14-0620,1,1,MC14-0620
MC14-0637,2.8,2,MC14-0637
MC14-0663,2.8,3,MC14-0663
MC14-0708,2.5,1,MC14-0708
MC14-0709,1.6,2,MC14-0709
MC14-0719,1.2,4,MC14-0719
MC14-0771,1.6,4,MC14-0771
MC14-0777,3,3,MC14-0777
MC14-0783,2.2,2,MC14-0783
MC14-0800,2.2,2,MC14-0800
MC14-0803,1.8,2,MC14-0803
MC14-0842,2.4,4,MC14-0842
mc14-0871,3,1,mc14-0871
MC14-0871,2.9,3,MC14-0871
MC14-0894,1.7,1,MC14-0894
MC14-0910,1.6,3,MC14-0910
MC14-0915,2.7,2,MC14-0915
MC14-0954,1.7,1,MC14-0954
mc14-0958,3,1,mc14-0958
MC14-0958,2.25,11,MC14-0958
MC14-0960,1.3,2,MC14-0960
MC14-0965,1.1,6,MC14-0965
MC14-0982,2,2,MC14-0982
MC14-0994,3.7,1,MC14-0994
MC14-1028,2,1,MC14-1028
MC14-1057,1.7,3,MC14-1057
MC14-1102,1.7,1,MC14-1102
MC15-0014,2.2,1,MC15-0014
MC15-0019,2.4,3,MC15-0019
MC15-0024,2,1,MC15-0024
MC15-0032,1.8,3,MC15-0032
MC15-0033,2.3,1,MC15-0033
MC15-0074,2.3,4,MC15-0074
MC15-0101,2.2,3,MC15-0101
MC15-0166,2.3,1,MC15-0166
MC15-0180,2.7,1,MC15-0180
MC15-0217,2.3,1,MC15-0217
MC15-0218,3.2,1,MC15-0218
MC15-0229,2.5,1,MC15-0229
MC15-0242,1.8,2,MC15-0242
MC15-0273A,1.8,2,MC15-0273A
MC15-0273B,2.3,1,MC15-0273B
MC15-0283,1.2,1,MC15-0283
MC15-0296,2,1,MC15-0296
MC15-0315,1.8,1,MC15-0315
MC15-0329,2.7,1,MC15-0329
MC15-0397,2.7,1,MC15-0397
MC15-0408,1.8,3,MC15-0408
MC15-0409,2.6,2,MC15-0409
MC15-0424,2,1,MC15-0424
MC15-0457A,3,1,MC15-0457A
MC15-0476,1.5,1,MC15-0476
MC15-0489,1,1,MC15-0489
MC15-0502,2.5,1,MC15-0502
MC15-0526,3.7,1,MC15-0526
MC15-0535,2.3,1,MC15-0535
MC15-0538,2.2,1,MC15-0538
MC15-0594,2.7,4,MC15-0594
MC15-0596,3.2,1,MC15-0596
MC15-0624,2.2,1,MC15-0624
MC15-0644,3.2,7,MC15-0644
MC15-0672,2,1,MC15-0672
MC15-0673,2.05,10,MC15-0673
MC15-0678,2.2,1,MC15-0678
mc16-0010,3,1,mc16-0010
MC16-0010,2.2,1,MC16-0010
MC16-0026,3,1,MC16-0026
mc16-0036,3.6,2,mc16-0036
MC16-0036,2.7,2,MC16-0036
MC16-0039,2.3,2,MC16-0039
MC16-0047,2,1,MC16-0047
mc16-0062,2,1,mc16-0062
MC16-0062,2.3,6,MC16-0062
mc16-0065,4,1,mc16-0065
MC16-0065,2.85,4,MC16-0065
MC16-0068,3.5,1,MC16-0068
MC16-0089,2.5,1,MC16-0089
MC16-0100,2.2,1,MC16-0100
MC16-0110,1.7,2,MC16-0110
MC16-0115,1.2,1,MC16-0115
MC16-0120,0.2,1,MC16-0120
MC16-0138,3.2,1,MC16-0138
MC16-0148,1,1,MC16-0148
mc16-0196,2,1,mc16-0196
mc16-0200,3,1,mc16-0200
MC16-0200,2.2,4,MC16-0200
MC16-0206,2.2,2,MC16-0206
mc16-0223,2.8,1,mc16-0223
MC16-0223,2,2,MC16-0223
MC16-0250,2.3,1,MC16-0250
mc16-0260,2.5,1,mc16-0260
MC16-0260,2.35,5,MC16-0260
MC16-0284,3.5,1,MC16-0284
MC16-0294,2.4,2,MC16-0294
mc16-0298,3.7,1,mc16-0298
MC16-0298,2.65,3,MC16-0298
MC16-0348,2,1,MC16-0348
MC16-0401,1.3,1,MC16-0401
MC16-0417,2,1,MC16-0417
mc16-0420,3.7,1,mc16-0420
MC16-0420,1.85,5,MC16-0420
MC16-0429,1.8,1,MC16-0429
mc16-0433,3.8,1,mc16-0433
MC16-0433,1.5,1,MC16-0433
MC16-0438,2.8,1,MC16-0438
MC16-0444,1.3,2,MC16-0444
MC16-0455,2.3,1,MC16-0455
MC16-0470,2.7,1,MC16-0470
MC16-0471,0.8,1,MC16-0471
MC16-0474,3.1,2,MC16-0474
MC16-0475,1.7,1,MC16-0475
MC16-0478,2.7,1,MC16-0478
MC16-0479,2.2,1,MC16-0479
MC16-0480,2.5,1,MC16-0480
MC16-0483,3.2,1,MC16-0483
MC16-0485,2.3,1,MC16-0485
MC16-0493,3,1,MC16-0493
MC16-0517,3.8,1,MC16-0517
MC16-0531,3.5,1,MC16-0531
MC16-0534,3.6,2,MC16-0534
MC16-0541,3.3,2,MC16-0541
MC16-0545,2.7,1,MC16-0545
MC16-0549,2.5,1,MC16-0549
mc16-0557,3.7,1,mc16-0557
MC16-0557,3.3,1,MC16-0557
MC16-0560,2.2,1,MC16-0560
MC16-0570,2.2,1,MC16-0570
MC16-0626,3,1,MC16-0626
MC16-0631,2,1,MC16-0631
MC16-0643,2.5,1,MC16-0643
mc16-0644,3.7,1,mc16-0644
MC16-0686,3,1,MC16-0686
MC16-0687,3.2,1,MC16-0687
MC16-0714,3.3,3,MC16-0714
MC16-0737,4,1,MC16-0737
MC16-0738,3.2,2,MC16-0738
MC16-0745,1.3,3,MC16-0745
