Clone,Rater,Maternal Parent,Paternal Parent,Cross,EVAL Year,EVAL Location,Rel/BRD,Mature Leaf Color,Branching,Plant Type,Climbing,Flower Habit,Savoy,Vigor,Color Uniformity,Overall App.,Comments,,Breeding
10101-024,DG,Climbing,OP,ClimbingxOP,2019,HCRS,4,1,6,3;4;6,,,,7,6,6,lime lobef uoright tips good color but some washing. send for mixed container,,
10101-025,DG,Climbing,OP,ClimbingxOP,2019,HCRS,5,1,7,3;4;6;8,,1,,7,7,7,lime climber. good color. thicker stems. nice send,,
10101-059,DG,Climbing,OP,ClimbingxOP,2019,HCRS,4,1,6,3;4;6,,0,,6,6,6,lime lobed good uniformity. uoright tips. small leaves. send for mixed container,,
10105-003,DG,8967-001,OP,8967-001xOP,2019,HCRS,1,1,4,2,,3,,5,6,6,small leaved lime illusion.flowers. containers?,,
10105-010,DG,8967-001,OP,8967-001xOP,2019,HCRS,1;12,11,5,3;4;6,,0,,7,,7,nice sc red vg color some ebb. some savoy.,,
10105-024,DG,8967-001,OP,8967-001xOP,2019,HCRS,12,11,5,3;4;6,,,,7,5,5,red sc. good color slight ebg. ,,
10105-029,DG,8967-001,OP,8967-001xOP,2019,HCRS,1,11,4,4;6,,,,5,5,5,red il small leaves. good color ebg. loose habit. send for mixed containers,,
10105-047,DG,8967-001,OP,8967-001xOP,2019,HCRS,12,11,4,3;4,,0,,6,4,5,red sc good color but ebg. send for container,,
10105-048,DG,8967-001,OP,8967-001xOP,2019,HCRS,12,11,6,3;4,,,,6,5,6,red sc variable lobes. good color. some frosting and ebg. ,,
10105-050,DG,8967-001,OP,8967-001xOP,2019,HCRS,1,11,6,3;4;6,,,,6,6,6,red il. good color but ebg. nice overall.send?,,
10105-063,DG,8967-001,OP,8967-001xOP,2019,HCRS,1,11,6,3;4;6,,0,,6,7,7,ery nice red il. good cilor and plant. habit. send,,
10105-066,DG,8967-001,OP,8967-001xOP,2019,HCRS,12,11,5,3;4,,,,5,5,6,red sc.good color but a few older leaves ebg. breeding. ,,
10107-043,DG,9113-030,OP,9113-030xOP,2019,HCRS,1,11,5,3;4;6,,0,,6,7,7,red il center lobe fat. good color slight ebg. nice.,,
10108-063,DG,9128-241,OP,9128-241xOP,2019,HCRS,11;12,1,6,3;4,,3,,6,4,5,line lobed almost sc. crown background. color not best,,
10108-085,DG,9128-241,OP,9128-241xOP,2019,HCRS,1,1,6,3;4,,,,6,7,6,dark lime illusion thin lobes. upright tips. nice,,
10108-096,DG,9128-241,OP,9128-241xOP,2019,HCRS,1;11,1,4,3;4;6,,3,,6,5,5,il type line crown background.containers.,,
10108-104,DG,9128-241,OP,9128-241xOP,2019,HCRS,1;4,1,5,3;4,,0,,7,5,6,il lime red tips .extra lobes.antique pastel look.,,
10108-177,DG,9128-241,OP,9128-241xOP,2019,HCRS,12,10,5,3;4;6,,0,,5,6,6,very nice bronze sc. vigorous for a good bronze. send,,
10109-001,DG,9188-008,OP,9188-008xOP,2019,HCRS,4,1,6,3;4,,0,,7,7,7,nice lime love on lobe good color upright tips open habit send for mixed container,,
10110-002,DG,9287-001,OP,9287-001xOP,2019,HCRS,1,1,7,2;4,,0,,6,6,6,il lime small leaves well branched. compact,,
10113-060,DG,8101-004,OP CRW,8101-004xOP CRW,2019,HCRS,4,8,5,4;6,,3,,6,3,4,purp crown lobe on lobe. x onto medusa,,
10113-071,DG,8101-004,OP CRW,8101-004xOP CRW,2019,HCRS,4;1,1,6,3;4,,,,6,6,6,crown illusion lime. uprigh tips flower buds. x for medusa,,
10113-074,DG,8101-004,OP CRW,8101-004xOP CRW,2019,HCRS,4,1,4,3;4,,,,4,5,4,medusa type crown. flat leaf base split Corolla x for medusa,,
10113-076,DG,8101-004,OP CRW,8101-004xOP CRW,2019,HCRS,4,1,4,3;4;6,,,,4,7,6,crown medusa type line good uniformity split corrola. open habit x for medusa,,
10113-085,DG,8101-004,OP CRW,8101-004xOP CRW,2019,HCRS,4,1,4,3;4,,,,4,5,4,medusa type line. weak. breeding Only,,
